PricePaid,Age,Income,CreditScore,PreviousCarOwned,VehicleType,Brand,Gender,MaritalStatus,Region,PrevCarDoors,NumKids,YearsOwnedPrevCar
54062.495286091806,38.56576783541071,45291.420486593895,752.4891236188128,4,SUV,Ford,Female,Single,South,2,3,1
54015.53048134646,,,660.9733620908553,1,SUV,Ford,Female,Married,North,2,1,5
55857.87394720564,40.64294878587582,66194.5739056112,,2,SUV,Chevy,Male,,North,2,3,9
59278.52692282678,49.4686146164618,77245.03366387037,696.943713719981,3,Sedan,Dodge,Female,Married,North,3,0,8
54172.7710605109,32.527826915132565,,742.8076594371154,1,SUV,Ford,Male,Single,North,2,2,4
53603.207164624415,31.5365300848734,85412.03915057647,661.6344017156337,2,SUV,Chevy,Female,Married,East,3,2,4
63660.2317916649,52.36619742142975,57310.12802328772,601.6577455899587,2,SUV,Dodge,Male,Single,South,3,2,9
57779.57911865713,35.37355258118702,69424.31606751522,,2,SUV,Chevy,Female,,West,4,2,7
54770.093788608574,27.369646464229337,76145.6338305385,825.1451167614744,2,SUV,Ford,Female,Married,East,3,2,5
46221.54923324805,35.1487005790013,71066.89313330251,670.1029850993991,3,Sedan,Chevy,Female,Single,North,3,2,2
54875.12676001691,36.69947264755999,70960.57161197558,754.8079031440828,1,SUV,Chevy,Female,Married,West,3,0,9
55289.479958322496,55.54962727725765,49158.85013018592,635.1121856577593,3,SUV,Dodge,Male,Single,North,3,0,7
48159.564854753626,49.248262123767375,57708.98773290539,708.942736181646,4,Sedan,Dodge,Male,Single,West,2,3,8
35677.596220930754,,68955.9022629109,717.4203608964325,3,Sedan,Chevy,Male,Single,West,4,1,1
43071.98433611846,48.19973642346786,28601.614875822568,841.8206005550685,4,SUV,Ford,Male,Married,North,4,3,4
42331.67009504074,49.46243671615314,84609.66480014782,684.1070630615409,1,Sedan,Chevy,Female,,North,2,2,2
37665.55769967004,33.11917873419682,54409.81350433396,664.4365975454378,3,Sedan,Chevy,Male,,South,4,1,9
51409.55501771229,38.01397844646516,,717.5466804675324,4,Sedan,Dodge,Male,Single,South,4,2,3
54858.22749524137,30.10084686976451,83983.74006706366,,1,SUV,Dodge,Male,Married,East,4,3,8
44032.518817969176,37.89511969462966,66844.60435331424,720.4788444657106,1,Sedan,Dodge,Male,Married,North,3,0,2
68275.5778785556,46.84104990934741,90008.22488552307,697.3255772697757,2,SUV,Dodge,Female,Single,North,4,2,2
58732.09686053639,41.34583284812247,86147.960173874,662.3091172790834,4,SUV,Dodge,Male,,West,2,2,1
43374.17268332872,53.114808189602954,70365.5779374804,,3,Sedan,Ford,Female,,East,4,3,5
45851.94101549926,28.585842077727808,68673.60577212453,705.4160684677045,3,SUV,Ford,Male,Single,East,4,3,6
53765.44498890042,45.0023835069824,,,1,SUV,Chevy,Female,Single,North,2,0,5
54055.087081500315,27.516971981306817,78480.20759111496,782.6226686919746,2,Sedan,Dodge,Male,Single,West,4,0,8
44312.051731581756,,90670.45752552213,,2,Sedan,Dodge,Male,,East,2,3,2
